Directory,File Name,Call Names
app/assets,commandLineHandler.js,importESModule
app/assets,commandLineHandler.js,handleFlag
app/assets,commandLineHandler.js,handleFlag
app/assets,commandLineHandler.js,clearUserPref
app/assets,commandLineHandler.js,getBranch
app/assets,commandLineHandler.js,handleFlagWithParam
app/assets,commandLineHandler.js,handleFlagWithParam
app/assets,commandLineHandler.js,handleFlagWithParam
app/assets,commandLineHandler.js,resolveURI
app/assets,commandLineHandler.js,handleFlag
app/assets,commandLineHandler.js,handleFlag
app/assets,commandLineHandler.js,handleFlag
app/assets,commandLineHandler.js,handleFlagWithParam
app/assets,commandLineHandler.js,handleFlag
app/assets,commandLineHandler.js,handleFlag
app/assets,commandLineHandler.js,handleFlag
app/assets,commandLineHandler.js,handleFlagWithParam
app/assets,commandLineHandler.js,handleFlagWithParam
app/assets,commandLineHandler.js,handleFlagWithParam
app/assets,commandLineHandler.js,handleFlagWithParam
app/assets,commandLineHandler.js,openWindow
app/assets,commandLineHandler.js,createInstance
app/assets,commandLineHandler.js,handleFlag
app/assets,commandLineHandler.js,
app/assets,commandLineHandler.js,getIntPref
app/assets,commandLineHandler.js,getBranch
app/assets,commandLineHandler.js,import
app/assets,commandLineHandler.js,require
app/assets,commandLineHandler.js,require
app/assets,commandLineHandler.js,dump
app/assets,commandLineHandler.js,init
app/assets,commandLineHandler.js,registerAllActors
app/assets,commandLineHandler.js,open
app/assets,commandLineHandler.js,dump
app/assets,commandLineHandler.js,dump
app/assets,commandLineHandler.js,reportError
app/assets,prefs.js,pref
app/assets,prefs.js,pref
app/assets,prefs.js,pref
app/assets,prefs.js,pref
app/assets,prefs.js,pref
app/assets,prefs.js,pref
app/assets,prefs.js,pref
app/assets,prefs.js,pref
app/assets,prefs.js,pref
app/assets,prefs.js,pref
app/assets,prefs.js,pref
app/assets,prefs.js,pref
app/assets,prefs.js,pref
app/assets,prefs.js,pref
app/assets,prefs.js,pref
app/assets,prefs.js,pref
app/assets,prefs.js,pref
app/assets,prefs.js,pref
app/assets,prefs.js,pref
app/assets,prefs.js,pref
app/assets,prefs.js,pref
app/assets,prefs.js,pref
app/assets,prefs.js,pref
app/assets,prefs.js,pref
app/assets,prefs.js,pref
app/assets,prefs.js,pref
app/assets,prefs.js,pref
app/assets,prefs.js,pref
app/assets,prefs.js,pref
app/assets,prefs.js,pref
app/assets,prefs.js,pref
app/assets,prefs.js,pref
app/assets,prefs.js,pref
app/assets,prefs.js,pref
app/assets,prefs.js,pref
app/assets,prefs.js,pref
app/assets,prefs.js,pref
app/assets,prefs.js,pref
app/assets,prefs.js,pref
app/assets,prefs.js,pref
app/assets,prefs.js,pref
app/assets,prefs.js,pref
app/assets,prefs.js,pref
app/assets,prefs.js,pref
app/assets,prefs.js,pref
app/assets,prefs.js,pref
app/assets,prefs.js,pref
app/assets,prefs.js,pref
app/assets,prefs.js,pref
app/assets,prefs.js,pref
app/assets,prefs.js,pref
app/assets,prefs.js,pref
app/assets,prefs.js,pref
app/assets,prefs.js,pref
app/assets,prefs.js,pref
app/assets,prefs.js,pref
app/assets,prefs.js,pref
app/assets,prefs.js,pref
app/assets,prefs.js,pref
app/assets,prefs.js,pref
app/assets,prefs.js,pref
app/assets,prefs.js,pref
app/assets,prefs.js,pref
app/assets,prefs.js,pref
app/assets,prefs.js,pref
app/assets,prefs.js,pref
chrome/content/scaffold,content.js,addMessageListener
chrome/content/scaffold,content.js,dump
chrome/content/scaffold,content.js,sendAsyncMessage
chrome/content/scaffold,content.js,serializeToString
chrome/content/scaffold,content.js,sendAsyncMessage
chrome/content/scaffold,content.js,addEventListener
chrome/content/scaffold,load.js,loadSubScript
chrome/content/scaffold,load.js,loadSubScript
chrome/content/scaffold,load.js,addEventListener
chrome/content/scaffold,load.js,accept
chrome/content/scaffold,load.js,getElementById
chrome/content/scaffold,load.js,addEventListener
chrome/content/scaffold,load.js,getElementById
chrome/content/scaffold,load.js,accept
chrome/content/scaffold,load.js,close
chrome/content/scaffold,load.js,addEventListener
chrome/content/scaffold,load.js,preventDefault
chrome/content/scaffold,load.js,proxyToProper
chrome/content/scaffold,load.js,getWebTranslatorsForLocation
chrome/content/scaffold,load.js,sort
chrome/content/scaffold,load.js,getAllForType
chrome/content/scaffold,load.js,localeCompare
chrome/content/scaffold,load.js,sort
chrome/content/scaffold,load.js,getAllForType
chrome/content/scaffold,load.js,localeCompare
chrome/content/scaffold,load.js,sort
chrome/content/scaffold,load.js,getAllForType
chrome/content/scaffold,load.js,localeCompare
chrome/content/scaffold,load.js,sort
chrome/content/scaffold,load.js,getAllForType
chrome/content/scaffold,load.js,localeCompare
chrome/content/scaffold,load.js,createXULElement
chrome/content/scaffold,load.js,setAttribute
chrome/content/scaffold,load.js,append
chrome/content/scaffold,load.js,appendChild
chrome/content/scaffold,load.js,createXULElement
chrome/content/scaffold,load.js,createXULElement
chrome/content/scaffold,load.js,setAttribute
chrome/content/scaffold,load.js,append
chrome/content/scaffold,load.js,appendChild
chrome/content/scaffold,load.js,appendChild
chrome/content/scaffold,load.js,getElementById
chrome/content/scaffold,load.js,get
chrome/content/scaffold,load.js,debug
chrome/content/scaffold,scaffold.js,import
chrome/content/scaffold,scaffold.js,import
chrome/content/scaffold,scaffold.js,import
chrome/content/scaffold,scaffold.js,import
chrome/content/scaffold,scaffold.js,importESModule
chrome/content/scaffold,scaffold.js,importESModule
chrome/content/scaffold,scaffold.js,defineLazyGetter
chrome/content/scaffold,scaffold.js,then
chrome/content/scaffold,scaffold.js,subprocess
chrome/content/scaffold,scaffold.js,get
chrome/content/scaffold,scaffold.js,trimEnd
chrome/content/scaffold,scaffold.js,getElementById
chrome/content/scaffold,scaffold.js,addMessageListener
chrome/content/scaffold,scaffold.js,getElementById
chrome/content/scaffold,scaffold.js,loadFrameScript
chrome/content/scaffold,scaffold.js,getElementById
chrome/content/scaffold,scaffold.js,addEventListener
chrome/content/scaffold,scaffold.js,debug
chrome/content/scaffold,scaffold.js,fixupAndLoadURIString
chrome/content/scaffold,scaffold.js,getSystemPrincipal
chrome/content/scaffold,scaffold.js,addEventListener
chrome/content/scaffold,scaffold.js,getElementById
chrome/content/scaffold,scaffold.js,handleTabSelect
chrome/content/scaffold,scaffold.js,addEventListener
chrome/content/scaffold,scaffold.js,getElementById
chrome/content/scaffold,scaffold.js,setAttribute
chrome/content/scaffold,scaffold.js,getElementById
chrome/content/scaffold,scaffold.js,addEventListener
chrome/content/scaffold,scaffold.js,removeAttribute
chrome/content/scaffold,scaffold.js,getElementById
chrome/content/scaffold,scaffold.js,get
chrome/content/scaffold,scaffold.js,getElementById
chrome/content/scaffold,scaffold.js,getElementById
chrome/content/scaffold,scaffold.js,generateTranslatorID
chrome/content/scaffold,scaffold.js,sort
chrome/content/scaffold,scaffold.js,map
chrome/content/scaffold,scaffold.js,getAll
chrome/content/scaffold,scaffold.js,getElementById
chrome/content/scaffold,scaffold.js,includes
chrome/content/scaffold,scaffold.js,createXULElement
chrome/content/scaffold,scaffold.js,setAttribute
chrome/content/scaffold,scaffold.js,addEventListener
chrome/content/scaffold,scaffold.js,addTemplate
chrome/content/scaffold,scaffold.js,appendChild
chrome/content/scaffold,scaffold.js,getDirectory
chrome/content/scaffold,scaffold.js,promptForTranslatorsDirectory
chrome/content/scaffold,scaffold.js,close
chrome/content/scaffold,scaffold.js,getElementById
chrome/content/scaffold,scaffold.js,getElementById
chrome/content/scaffold,scaffold.js,getElementById
chrome/content/scaffold,scaffold.js,all
chrome/content/scaffold,scaffold.js,then
chrome/content/scaffold,scaffold.js,loadMonaco
chrome/content/scaffold,scaffold.js,then
chrome/content/scaffold,scaffold.js,loadMonaco
chrome/content/scaffold,scaffold.js,then
chrome/content/scaffold,scaffold.js,loadMonaco
chrome/content/scaffold,scaffold.js,initImportEditor
chrome/content/scaffold,scaffold.js,initCodeEditor
chrome/content/scaffold,scaffold.js,initTestsEditor
chrome/content/scaffold,scaffold.js,addEditorKeydownHandlers
chrome/content/scaffold,scaffold.js,addEditorKeydownHandlers
chrome/content/scaffold,scaffold.js,addEditorKeydownHandlers
chrome/content/scaffold,scaffold.js,registerRoot
chrome/content/scaffold,scaffold.js,getElementById
chrome/content/scaffold,scaffold.js,get
chrome/content/scaffold,scaffold.js,setFontSize
chrome/content/scaffold,scaffold.js,addEventListener
chrome/content/scaffold,scaffold.js,reloadTranslators
chrome/content/scaffold,scaffold.js,setLoadListener
chrome/content/scaffold,scaffold.js,setAttribute
chrome/content/scaffold,scaffold.js,getElementById
chrome/content/scaffold,scaffold.js,removeAttribute
chrome/content/scaffold,scaffold.js,getElementById
chrome/content/scaffold,scaffold.js,load
chrome/content/scaffold,scaffold.js,getProvider
chrome/content/scaffold,scaffold.js,then
chrome/content/scaffold,scaffold.js,load
chrome/content/scaffold,scaffold.js,clear
chrome/content/scaffold,scaffold.js,newTranslator
chrome/content/scaffold,scaffold.js,confirmEx
chrome/content/scaffold,scaffold.js,getString
chrome/content/scaffold,scaffold.js,setTranslatorsDirectory
chrome/content/scaffold,scaffold.js,launchURL
chrome/content/scaffold,scaffold.js,get
chrome/content/scaffold,scaffold.js,init
chrome/content/scaffold,scaffold.js,appendFilters
chrome/content/scaffold,scaffold.js,show
chrome/content/scaffold,scaffold.js,normalize
chrome/content/scaffold,scaffold.js,set
chrome/content/scaffold,scaffold.js,load
chrome/content/scaffold,scaffold.js,debug
chrome/content/scaffold,scaffold.js,load
chrome/content/scaffold,scaffold.js,_logOutput
chrome/content/scaffold,scaffold.js,pluralize
chrome/content/scaffold,scaffold.js,_logOutput
chrome/content/scaffold,scaffold.js,pluralize
chrome/content/scaffold,scaffold.js,getElementById
chrome/content/scaffold,scaffold.js,getModifiedTime
chrome/content/scaffold,scaffold.js,confirmEx
chrome/content/scaffold,scaffold.js,getString
chrome/content/scaffold,scaffold.js,getString
chrome/content/scaffold,scaffold.js,load
chrome/content/scaffold,scaffold.js,_updateTitle
chrome/content/scaffold,scaffold.js,createModel
chrome/content/scaffold,scaffold.js,parse
chrome/content/scaffold,scaffold.js,setModel
chrome/content/scaffold,scaffold.js,updateOptions
chrome/content/scaffold,scaffold.js,registerCodeLensProvider
chrome/content/scaffold,scaffold.js,createRunCodeLensProvider
chrome/content/scaffold,scaffold.js,registerHoverProvider
chrome/content/scaffold,scaffold.js,createHoverProvider
chrome/content/scaffold,scaffold.js,registerCompletionItemProvider
chrome/content/scaffold,scaffold.js,createCompletionProvider
chrome/content/scaffold,scaffold.js,onDidChangeContent
chrome/content/scaffold,scaffold.js,updateModelMarkers
chrome/content/scaffold,scaffold.js,getContentsAsync
chrome/content/scaffold,scaffold.js,join
chrome/content/scaffold,scaffold.js,getDirectory
chrome/content/scaffold,scaffold.js,addExtraLib
chrome/content/scaffold,scaffold.js,setDiagnosticsOptions
chrome/content/scaffold,scaffold.js,updateOptions
chrome/content/scaffold,scaffold.js,getModel
chrome/content/scaffold,scaffold.js,onDidChangeContent
chrome/content/scaffold,scaffold.js,getModel
chrome/content/scaffold,scaffold.js,populateTests
chrome/content/scaffold,scaffold.js,updateOptions
chrome/content/scaffold,scaffold.js,registerCodeLensProvider
chrome/content/scaffold,scaffold.js,createTestCodeLensProvider
chrome/content/scaffold,scaffold.js,addCommand
chrome/content/scaffold,scaffold.js,run
chrome/content/scaffold,scaffold.js,findMatches
chrome/content/scaffold,scaffold.js,match
chrome/content/scaffold,scaffold.js,push
chrome/content/scaffold,scaffold.js,map
chrome/content/scaffold,scaffold.js,getTypes
chrome/content/scaffold,scaffold.js,join
chrome/content/scaffold,scaffold.js,getLineMinColumn
chrome/content/scaffold,scaffold.js,getLineMaxColumn
chrome/content/scaffold,scaffold.js,findMatches
chrome/content/scaffold,scaffold.js,containsPosition
chrome/content/scaffold,scaffold.js,get
chrome/content/scaffold,scaffold.js,stringify
chrome/content/scaffold,scaffold.js,findMatches
chrome/content/scaffold,scaffold.js,containsPosition
chrome/content/scaffold,scaffold.js,listFieldsForItemType
chrome/content/scaffold,scaffold.js,addCommand
chrome/content/scaffold,scaffold.js,parse
chrome/content/scaffold,scaffold.js,getValue
chrome/content/scaffold,scaffold.js,_logOutput
chrome/content/scaffold,scaffold.js,map
